Team,Season,Win_Pct,Is_Champion,Player1_Name,Player1_Degree,Player2_Name,Player2_Degree,Duo_Avg_Degree,Duo_Total_Degree,Duo_Gap,Duo_Concentration,GP,Duo_Avg_Per_Game
DEN,2017-18,0.561,False,Jamal Murray,9103,Nikola Jokić,8380,8741.5,17483,723,0.415510029470482,81,107.91975308641975
DEN,2018-19,0.659,False,Nikola Jokić,10286,Jamal Murray,9204,9745.0,19490,1082,0.39780381271176063,80,121.8125
DEN,2019-20,0.63,False,Nikola Jokić,9857,Jamal Murray,6980,8418.5,16837,2877,0.41216646266829865,73,115.32191780821918
DEN,2020-21,0.653,False,Nikola Jokić,9481,Jamal Murray,4688,7084.5,14169,4793,0.39697971534237364,72,98.39583333333333
DEN,2021-22,0.585,False,Nikola Jokić,9902,Monté Morris,7222,8562.0,17124,2680,0.3615251446185027,74,115.70270270270271
DEN,2022-23,0.646,True,Nikola Jokić,8973,Jamal Murray,6713,7843.0,15686,2260,0.41764737206454017,69,113.66666666666667
DEN,2023-24,0.695,False,Nikola Jokić,10678,Jamal Murray,5880,8279.0,16558,4798,0.3962950552869657,79,104.79746835443038
DET,2015-16,0.537,False,Reggie Jackson,7351,Marcus Morris Sr.,4624,5987.5,11975,2727,0.37249595620256315,79,75.79113924050633
DET,2016-17,0.451,False,Ish Smith,7727,Tobias Harris,5889,6808.0,13616,1838,0.32012037428880424,81,84.04938271604938
DET,2017-18,0.476,False,Ish Smith,6379,Anthony Tolliver,4442,5410.5,10821,1937,0.33004941133410604,82,65.98170731707317
DET,2018-19,0.5,False,Blake Griffin,8032,Reggie Jackson,7904,7968.0,15936,128,0.41114551083591333,75,106.24
DET,2019-20,0.303,False,Derrick Rose,3275,Bruce Brown,3097,3186.0,6372,178,0.31373707533234857,50,63.72
DET,2020-21,0.278,False,Mason Plumlee,2906,Jerami Grant,2798,2852.0,5704,108,0.21419451746150958,56,50.92857142857143
DET,2021-22,0.28,False,Cade Cunningham,6499,Saddiq Bey,5014,5756.5,11513,1485,0.3078342245989305,64,89.9453125
DET,2022-23,0.207,False,Killian Hayes,6289,Jaden Ivey,5205,5747.0,11494,1084,0.35660213452469597,76,75.61842105263158
DET,2023-24,0.171,False,Cade Cunningham,6010,Jaden Ivey,4170,5090.0,10180,1840,0.3376899091090029,62,82.09677419354838
GSW,2015-16,0.89,False,Stephen Curry,9698,Draymond Green,9079,9388.5,18777,619,0.403026400515132,79,118.84177215189874
GSW,2016-17,0.817,True,Stephen Curry,8505,Draymond Green,8012,8258.5,16517,493,0.3672566371681416,79,104.5379746835443
GSW,2017-18,0.707,True,Draymond Green,7885,Kevin Durant,6167,7026.0,14052,1718,0.2786215648173851,70,100.37142857142857
