Team,Network_Type,N_Players,N_Connections,Density,Gini_Coefficient,N_Hubs,Top2_Concentration,Avg_Clustering,Total_Weight,Avg_Weight_Per_Player,Degree_Centralization,Max_Betweenness,Avg_Betweenness,Max_Kcore,Avg_Kcore,Diameter,Eigenvector_Std,Eigenvector_Max,Max_Edge_Weight,Avg_Edge_Weight,PlayoffRank,PlayoffWins,PlayoffScore,WinPCT
ORL,assist,14,142,0.7802197802197802,0.35706825811264453,5,0.3154046997389034,0.13182807653061074,1915.0,136.78571428571428,0.6480797223155301,0.25042735042735037,0.06587301587301587,11,10.142857142857142,2,0.14552183400372157,0.5067389823902329,83.0,13.485915492957746,5,47,6.0,0.573
IND,assist,17,198,0.7279411764705882,0.41319073083778957,3,0.2903030303030303,0.08388581061684837,2475.0,145.58823529411765,0.7312633832976445,0.2595779220779221,0.07635005517358459,12,11.058823529411764,3,0.13589264240390878,0.45405320626052526,212.0,12.5,6,47,6.0,0.573
LAC,assist,16,142,0.5916666666666667,0.4946137174910761,5,0.32355940846506887,0.057806392322342866,1961.0,122.5625,0.6936757013789824,0.4809523809523809,0.0826388888888889,9,7.9375,2,0.17754520089651274,0.5988323582086909,141.0,13.809859154929578,4,51,6.0,0.622
MIN,assist,12,123,0.9318181818181818,0.32956528637156923,7,0.31461208948119945,0.1424923977723702,2101.0,175.08333333333334,0.5283170437809613,0.40757575757575754,0.09356060606060607,10,9.916666666666666,2,0.13776550090193518,0.48919904369937184,114.0,17.08130081300813,3,56,6.0,0.683
WAS,assist,17,172,0.6323529411764706,0.5029175999056936,5,0.3264028056112224,0.0371837428876599,1996.0,117.41176470588235,0.6815839694656488,0.18624999999999994,0.06850373482726424,9,8.411764705882353,2,0.18294889983871412,0.55782365220081,171.0,11.604651162790697,14,15,5.0,0.183
DET,assist,24,284,0.5144927536231884,0.5133913118726201,3,0.2946521287642783,0.04342246398284504,1926.0,80.25,0.7784810126582279,0.17778576276599992,0.04845995480876903,10,9.291666666666666,2,0.14408008481456727,0.5193087062745961,94.0,6.78169014084507,15,14,5.0,0.171
BKN,assist,16,173,0.7208333333333333,0.3780512339055795,5,0.27360515021459225,0.15922801002228287,1864.0,116.5,0.6618892508143323,0.5228571428571429,0.08440476190476191,11,10.125,2,0.13831677243732687,0.47149491507231545,56.0,10.77456647398844,11,32,6.0,0.39
GSW,assist,14,166,0.9120879120879121,0.31691548503966516,6,0.2763445561871447,0.13081147550301606,2287.0,163.35714285714286,0.5713969938107869,0.3899572649572649,0.08447802197802198,11,10.928571428571429,2,0.13355688361544615,0.48579510974472084,108.0,13.77710843373494,10,46,6.0,0.561
LAL,assist,13,134,0.8589743589743589,0.4654823398017591,4,0.36637931034482757,0.06418715590937223,2204.0,169.53846153846155,0.6687358916478555,0.2446608946608947,0.08040570540570541,0,0.0,2,0.18370073635096712,0.5324349582789333,169.0,16.44776119402985,8,47,6.0,0.573
PHI,assist,18,210,0.6862745098039216,0.43503996154077273,3,0.3107084910762574,0.08045319153363278,1849.0,102.72222222222223,0.7407980736154111,0.309016106442577,0.05802890600684718,11,10.333333333333334,2,0.14666663817896514,0.483233693453457,108.0,8.804761904761905,7,47,6.0,0.573
