TEAM_ABBREVIATION,SEASON,Num_Ball_Huggers,Num_Elite_Passers,Num_Ball_Huggers_Abs,Num_Elite_Passers_Abs,Num_Extreme_Huggers,Num_Extreme_Passers,Roster_Size,Hugger_Category,Passer_Category,Extreme_Hugger_Cat,Extreme_Passer_Cat,W_PCT,WINS,LOSSES,Net_Passers_Huggers,Net_Category
MIL,2023-24,1,4,0,3,0,0,13,0,2+,0,0,0.625,49,34,3,More Passers
MIN,2015-16,2,2,2,3,2,2,10,2+,2+,2+,2+,0.354,29,53,1,More Passers
MIN,2016-17,2,3,2,3,2,2,11,2+,2+,2+,2+,0.378,31,51,1,More Passers
MIN,2017-18,3,3,3,3,0,0,10,2+,2+,0,0,0.573,47,35,0,Equal
MIN,2018-19,2,4,2,4,0,0,14,2+,2+,0,0,0.333,39,43,2,More Passers
MIN,2019-20,2,2,1,1,0,0,14,1,1,0,0,0.135,30,44,0,Equal
MIN,2020-21,4,3,0,3,0,3,15,0,2+,0,2+,0.206,23,49,3,More Passers
MIN,2021-22,1,1,0,2,0,2,12,0,2+,0,2+,0.469,46,35,2,More Passers
MIN,2022-23,2,3,1,1,0,0,13,1,1,0,0,0.36,41,39,0,Equal
MIN,2023-24,2,1,0,1,0,1,10,0,1,0,1,0.697,56,26,1,More Passers
NOP,2015-16,2,2,1,4,0,2,15,1,2+,0,2+,0.311,29,52,3,More Passers
NOP,2016-17,2,2,0,4,0,2,11,0,2+,0,2+,0.3,34,46,4,More Passers
NOP,2017-18,0,2,0,3,0,1,13,0,2+,0,1,0.585,48,34,3,More Passers
NOP,2018-19,0,2,0,2,0,1,14,0,2+,0,1,0.318,31,42,2,More Passers
NOP,2019-20,2,2,2,2,0,2,14,2+,2+,0,2+,0.433,28,39,0,Equal
NOP,2020-21,1,2,1,5,0,1,14,1,2+,0,1,0.426,31,40,4,More Passers
NOP,2021-22,3,3,2,1,0,0,14,2+,1,0,0,0.25,36,42,-1,More Huggers
NOP,2022-23,2,2,1,1,0,0,13,1,1,0,0,0.369,40,41,0,Equal
NOP,2023-24,3,2,0,0,0,0,12,0,0,0,0,0.557,49,33,0,Equal
NYK,2015-16,1,3,0,3,0,0,12,0,2+,0,0,0.39,32,50,3,More Passers
NYK,2016-17,2,3,0,3,0,1,13,0,2+,0,1,0.269,31,51,3,More Passers
NYK,2017-18,2,3,0,3,0,1,14,0,2+,0,1,0.333,29,50,3,More Passers
NYK,2018-19,3,4,2,4,0,2,13,2+,2+,0,2+,0.152,25,61,2,More Passers
NYK,2019-20,2,2,3,2,0,1,15,2+,2+,0,1,0.328,39,45,-1,More Huggers
NYK,2020-21,2,3,2,4,0,3,12,2+,2+,0,2+,0.484,41,31,2,More Passers
NYK,2021-22,2,3,0,4,0,4,14,0,2+,0,2+,0.444,37,44,4,More Passers
