Team,Season,Win_Pct,Num_Nodes,Num_Edges,Total_Passes,Graph_Density,Is_Connected,Num_Components,Largest_Component_Size,Largest_Component_Pct,Is_Strongly_Connected,Is_Weakly_Connected,Num_Strong_Components,Num_Weak_Components,APL,Diameter,Mean_Weighted_Degree,Std_Weighted_Degree,Max_Weighted_Degree,Min_Weighted_Degree,Degree_Equality,Degree_Centralization,Mean_Betweenness,Max_Betweenness,Std_Betweenness,Mean_Closeness,Max_Closeness,Std_Closeness,Mean_Eigenvector,Max_Eigenvector,Std_Eigenvector,Avg_Clustering,Avg_Clustering_Weighted,Transitivity,Num_Triangles,Num_Communities,Modularity,Largest_Community_Size,Smallest_Community_Size,Community_Size_Std,Gini_Coefficient,Top1_Concentration,Top2_Concentration,Top3_Concentration,Pass_Entropy,Edge_Weight_Entropy,Star_Player_Degree,Star_Player_Name,Star_Degree_Share
MIL,2015-16,0.402,13,158,23123,1.0128205128205128,True,1,13,1.0,True,True,1,1,1.0,1,3557.3846153846152,2111.0032080455726,7606,1234,0.7395680412472471,0.5766500131475151,0.09761072261072262,0.39015151515151514,0.10262451203587601,1.0,1.0,0.0,0.23502497450863752,0.4836943108394193,0.14726282042759875,1.0,0.14714515198528566,1.0,286,,,,,,0.32921267203151044,0.16446827833758595,0.30465337542706394,0.43590797041906326,0.9323658582762335,0.900481006559683,7606,Giannis Antetokounmpo,0.16446827833758595
IND,2016-17,0.512,12,132,21997,1.0,True,1,12,1.0,True,True,1,1,1.0,1,3666.1666666666665,2414.614973908309,9977,867,0.6974561747089775,0.6900416412293731,0.1087121212121212,0.6818181818181818,0.19213583433027911,1.0,1.0,0.0,0.2263663569866371,0.6145165960919623,0.17914130109478305,1.0,0.08273835334493983,1.0,220,,,,,,0.3398455850040157,0.22678092467154612,0.3612765377096877,0.47138246124471517,0.9222751182033476,0.8698763652090024,9977,Jeff Teague,0.22678092467154612
ORL,2016-17,0.354,11,112,19477,1.018181818181818,True,1,11,1.0,True,True,1,1,1.0,1,3541.2727272727275,2087.7398867461297,8154,1112,0.7420801170156052,0.6222712779004169,0.10101010101010101,0.5888888888888889,0.17944011599711548,1.0,1.0,0.0,0.2639126377678462,0.5539162656979216,0.1458053858247648,1.0,0.11298975287948787,1.0,165,,,,,,0.32326240274076184,0.20932381783642245,0.36709965600451816,0.48739538943369104,0.9296132614269901,0.877911435730694,8154,Elfrid Payton,0.20932381783642245
BOS,2016-17,0.646,12,134,25955,1.0151515151515151,True,1,12,1.0,True,True,1,1,1.0,1,4325.833333333333,2506.6088590408804,10108,895,0.7486354785303689,0.6240421628233263,0.09772727272727273,0.5818181818181818,0.21070277918676059,1.0,1.0,0.0,0.2536799488689639,0.5319257023581098,0.13776725617930122,1.0,0.11941699554704033,1.0,220,,,,,,0.31775187825081874,0.19472163359660952,0.32949335388171835,0.4564438451165479,0.9321357572358226,0.8941049683362327,10108,Isaiah Thomas,0.19472163359660952
POR,2016-17,0.5,10,89,16478,0.9888888888888889,True,1,10,1.0,True,True,1,1,1.0222222222222221,2,3295.6,2119.9254326508744,8099,1235,0.7073223482401557,0.6589839623547489,0.17222222222222222,0.625,0.22721814720605632,0.9800000000000001,1.0,0.039999999999999994,0.2866396214613456,0.5478912303085873,0.1335579552422712,0.9777777777777779,0.19889920503659583,0.9767441860465116,112,,,,,,0.3299247481490472,0.2457519116397621,0.43776550552251486,0.5455455759194077,0.9210662792002512,0.8889115161069958,8099,Damian Lillard,0.2457519116397621
LAC,2016-17,0.622,13,155,24679,0.9935897435897436,True,1,13,1.0,True,True,1,1,1.0,1,3796.769230769231,2412.9957491067203,8342,426,0.7122963225339629,0.5902661232318389,0.10547785547785547,0.6287878787878788,0.17659319240108046,1.0,1.0,0.0,0.22184447952555844,0.5560013603220582,0.16645751357962493,1.0,0.07434478056659152,1.0,286,,,,,,0.36080816140786154,0.1690100895498197,0.3065359212285749,0.4231532882207545,0.911616126167449,0.850041728804367,8342,Chris Paul,0.1690100895498197
PHX,2016-17,0.293,13,151,20351,0.967948717948718,True,1,13,1.0,True,True,1,1,1.0256410256410255,2,3130.923076923077,1909.8024248008348,7672,621,0.7288224069416808,0.6412278415015641,0.11188811188811189,0.4772727272727273,0.17204076363835727,0.9771766694843619,1.0,0.044263829117788825,0.23726575060530322,0.5517890902716286,0.14362465148009576,0.9766899766899767,0.11182651089268424,0.9754601226993865,265,,,,,,0.3321137120459021,0.1884919659967569,0.3316544641540956,0.4314775686698442,0.9292837372601073,0.8785431949516982,7672,Eric Bledsoe,0.1884919659967569
UTA,2016-17,0.622,12,133,23949,1.0075757575757576,True,1,12,1.0,True,True,1,1,1.0,1,3991.5,1440.475818378543,6525,1294,0.8847689427665326,0.42357366771159877,0.10454545454545454,0.7636363636363636,0.21113950318962701,1.0,1.0,0.0,0.27536636110653695,0.41255826627421843,0.08664121712140009,1.0,0.2478955935675674,1.0,220,,,,,,0.20020668921458099,0.1362269823374671,0.260365777276713,0.3814981836402355,0.972712986230544,0.9422021459753065,6525,Gordon Hayward,0.1362269823374671
OKC,2016-17,0.573,12,133,17177,1.0075757575757576,True,1,12,1.0,True,True,1,1,1.0,1,2862.8333333333335,2434.182403235678,10035,427,0.5803966181226199,0.779689269375368,0.11931818181818181,0.5727272727272728,0.20940461480044922,1.0,1.0,0.0,0.23487465494199264,0.6348675022371811,0.16783095602186512,1.0,0.07571598364270661,1.0,220,,,,,,0.40366478430459335,0.29210572276881874,0.405629621004832,0.5042498690108866,0.8807497401587617,0.8214516120761209,10035,Russell Westbrook,0.29210572276881874
NOP,2016-17,0.415,11,102,14211,0.9272727272727272,True,1,11,1.0,True,True,1,1,1.0727272727272728,2,2583.818181818182,2101.458576503551,6686,250,0.6018724496504182,0.6749027819323961,0.1292929292929293,0.7555555555555555,0.2152712238701409,0.9409681227863046,1.0,0.08331654670308077,0.23630522161828293,0.5608126165814632,0.18726701029552725,0.9515151515151515,0.07245926750707547,0.9440559440559441,135,,,,,,0.44581342238087013,0.235240306804588,0.4322004081345437,0.5991133628879037,0.8633680666644078,0.8301800830225685,6686,Jrue Holiday,0.235240306804588
