Player_Name,Team,Team_FullName,Season,Degree,In_Degree,Out_Degree,Weighted_Degree,Assists_Given,Assists_Received,Betweenness,Clustering,Team_Density,Team_PlayoffRank,Team_PlayoffWins,Team_PlayoffScore,Team_WinPCT,GP,MIN,PTS,AST,REB,STL,BLK,FG_PCT,FG3_PCT,EFF
Trent Forrest,ATL,Atlanta Hawks,2023-24,20,8,12,93.0,82.0,11.0,0.0001770375611330404,0.015276452385434864,0.8296703296703297,10.0,36.0,6.0,0.439,,,,,,,,,,
Julian Strawther,DEN,Denver Nuggets,2023-24,17,9,8,93.0,35.0,58.0,8.378640053623297e-05,0.035863850890642375,0.7878787878787878,2.0,57.0,6.0,0.695,,,,,,,,,,
Oshae Brissett,BOS,Boston Celtics,2023-24,23,12,11,92.0,43.0,49.0,6.65636404260073e-05,0.022574184889198833,0.6958333333333333,1.0,64.0,6.0,0.78,,,,,,,,,,
Jontay Porter,TOR,Toronto Raptors,2023-24,26,12,14,91.0,59.0,32.0,5.0109291749270905e-05,0.020116652672813443,0.6333333333333333,12.0,25.0,6.0,0.305,,,,,,,,,,
Thaddeus Young,TOR,Toronto Raptors,2023-24,20,9,11,90.0,49.0,41.0,0.0,0.027410900239414098,0.6333333333333333,12.0,25.0,6.0,0.305,,,,,,,,,,
Evan Fournier,DET,Detroit Pistons,2023-24,23,11,12,90.0,38.0,52.0,1.3299428656544915e-06,0.02018189279573144,0.5144927536231884,15.0,14.0,5.0,0.171,,,,,,,,,,
Chris Duarte,SAC,Sacramento Kings,2023-24,17,9,8,90.0,36.0,54.0,0.00014429880092351233,0.03031529884373266,0.9454545454545454,9.0,46.0,6.0,0.561,,,,,,,,,,
Tristan Thompson,CLE,Cleveland Cavaliers,2023-24,19,9,10,89.0,49.0,40.0,0.00016446960105260543,0.03500513973803913,0.9102564102564102,4.0,48.0,6.0,0.585,,,,,,,,,,
Jordan Nwora,TOR,Toronto Raptors,2023-24,27,14,13,89.0,36.0,53.0,0.0006341721726301304,0.013142307389620656,0.6333333333333333,12.0,25.0,6.0,0.305,,,,,,,,,,
Rayan Rupert,POR,Portland Trail Blazers,2023-24,22,10,12,89.0,54.0,35.0,4.65480002979072e-05,0.0246972182548014,0.6911764705882353,15.0,21.0,6.0,0.256,,,,,,,,,,
Jalen Wilson,BKN,Brooklyn Nets,2023-24,25,13,12,89.0,39.0,50.0,0.0002346019215014523,0.023235021564830913,0.7208333333333333,11.0,32.0,6.0,0.39,,,,,,,,,,
Shake Milton,MIN,Minnesota Timberwolves,2023-24,18,10,8,88.0,46.0,42.0,0.00016757280107246593,0.04343034559085664,0.9318181818181818,3.0,56.0,6.0,0.683,,,,,,,,,,
Skylar Mays,POR,Portland Trail Blazers,2023-24,18,8,10,88.0,69.0,19.0,6.982200044686081e-06,0.030620480736560485,0.6911764705882353,15.0,21.0,6.0,0.256,,,,,,,,,,
Vít Krejčí,ATL,Atlanta Hawks,2023-24,17,9,8,88.0,48.0,40.0,9.30960005958144e-06,0.029815496621924717,0.8296703296703297,10.0,36.0,6.0,0.439,,,,,,,,,,
Jordan Goodwin,MEM,Memphis Grizzlies,2023-24,19,8,11,87.0,65.0,22.0,6.977937407296161e-06,0.022239234770954523,0.7222222222222222,13.0,27.0,6.0,0.329,,,,,,,,,,
Brice Sensabaugh,UTA,Utah Jazz,2023-24,19,9,10,86.0,46.0,40.0,0.00023274000148953603,0.03399074746099013,0.8846153846153846,12.0,31.0,6.0,0.378,,,,,,,,,,
Bismack Biyombo,MEM,Memphis Grizzlies,2023-24,18,9,9,85.0,45.0,40.0,4.65480002979072e-06,0.02657434110340584,0.7222222222222222,13.0,27.0,6.0,0.329,,,,,,,,,,
Marcus Morris Sr.,PHI,Philadelphia 76ers,2023-24,19,10,9,85.0,26.0,59.0,4.6548000297907195e-06,0.02355752388343488,0.6862745098039216,7.0,47.0,6.0,0.573,,,,,,,,,,
Monte Morris,MIN,Minnesota Timberwolves,2023-24,16,8,8,84.0,54.0,30.0,4.65480002979072e-06,0.048804088412163965,0.9318181818181818,3.0,56.0,6.0,0.683,,,,,,,,,,
Bol Bol,PHX,Phoenix Suns,2023-24,22,13,9,83.0,16.0,67.0,0.00022606812144683596,0.02254438253506304,0.6801470588235294,6.0,49.0,6.0,0.598,,,,,,,,,,
Ochai Agbaji,TOR,Toronto Raptors,2023-24,18,9,9,83.0,34.0,49.0,1.61366401032745e-05,0.024526619620746707,0.6333333333333333,12.0,25.0,6.0,0.305,,,,,,,,,,
